FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
42,466375.336248112,364087.679996427,4.213954041,101.269977,48.973,GP59,PERAK,Toll Plaza,327.2,GCP 43,Tapah Toll Plaza,C1
43,462785.559570518,366155.835183905,4.18154612281,101.288707253,92.9847,TPH04/KK,DL2- Tapah RSA SB,RSA SB,331.5,GCP 44,RSA Tapah SB,C1
44,462301.09504376,366250.977575269,4.17716727466,101.289577801,89.0228,GP58,PERAK,RSA NB,331.9,GCP 45,RSA Tapah NB,C1
45,454609.556192027,367107.018904229,4.10762887502,101.297501615,42.6343,GP57,PERAK,Toll Plaza,340,GCP 46,Bidor Toll Plaza,C2
46,447579.903082003,368641.084396439,4.04409537671,101.311511331,42.6275,GP56,PERAK,Layby SB,347.2,GCP 47,Layby Ladang Bikam SB,C2
47,441566.334739753,369015.442254635,3.98971948172,101.315046663,39.6093,GP55,PERAK,Toll Plaza,353.2,GCP 48,Sungkai Toll Plaza,C2
48,434067.353215886,372993.325160076,3.922007203,101.3510698,71.37,GP54,PERAK,NB,362.2,GCP 49,,C2
49,425615.056533742,377904.196511681,3.845695569,101.3955112,33.368,GP53,PERAK,Toll Plaza,373,GCP 50,Slim River Toll Plaza,C2
50,418579.077199056,383603.541186986,3.7822097907,101.447005868,38.7446,GP52,PERAK,Layby SB,383,GCP 51,Layby Behrang SB,C2
51,413854.176545725,384903.781065584,3.739511246,101.4588309,37.716,GP51,PERAK,Toll Plaza,388,GCP 52,Behrang Toll Plaza,C2
52,405407.368705574,391688.070442337,3.663287368,101.5201138,58.24,GP50,KL/SELANGOR,RSA SB,399,GCP 53,RSA Ulu Bernam SB,C2
53,395437.894976037,392546.885036099,3.57314576821,101.528084816,53.906,GP49,KL/SELANGOR,Toll Plaza,410.4,GCP 54,Lembah Beringin Toll Plaza,C3
54,386628.267226447,391715.890439789,3.49345371,101.5208164,35.442,GP48,KL/SELANGOR,Toll Plaza,420,GCP 55,Bukit Tagar Toll Plaza,C3
