FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
63,352790.067907626,399054.369006345,3,102,54,OBR02,DL1- OBR Sungai Buloh,OBR NB,458,GCP 64,OBR Sg Buloh NB,C3
64,352749.931004382,399030.438148059,3,102,54,OBR01,DL1- OBR Sungai Buloh,OBR NB,458,GCP 65,OBR Sg Buloh NB,C3
65,352739.210452198,399088.241836012,3,102,53,OBR03,DL1- OBR Sungai Buloh,OBR NB,458,GCP 66,OBR Sg Buloh NB,C3
66,351654.984585413,407057.058380298,3,102,62,GP43,KL/SELANGOR,Toll Plaza SB,29,GCP 67,Duta Toll Plaza,C4
67,349184.54184109,398988.823554214,3,102,46,GP42,KL/SELANGOR,Toll Plaza,19,GCP 68,Kota Damansara Toll Plaza,C4
68,343641.373273982,399355.701095804,3,102,22,GP41,KL/SELANGOR,Persada,14,GCP 69,PERSADA Subang,C4
69,342109.099305194,387734.370899728,3,101,16,TBM01,KL/SELANGOR,Toll Plaza,2,GCP 70,Setia Alam Toll Plaza,C4
70,340186.116696988,386576.806731252,3,101,13,GP40,KL/SELANGOR,Toll Plaza,0,GCP 71,Bukit Raja Toll Plaza,C4
71,337881.391284188,396872.859738722,3,102,14,GP39,KL/SELANGOR,Toll Plaza,6,GCP 72,Seafield Toll Plaza,C6
72,335093.703033734,397720.517587306,3,102,28,SEA03,DL2- OBR USJ,OBR SB,9,GCP 73,OBR USJ SB,C6
73,334923.847216871,397794.902340495,3,102,19,SEA02,DL2- OBR USJ,OBR SB,9,GCP 74,OBR USJ SB,C6
74,334876.359547237,397777.275540258,3,102,23,SEA01,DL2- OBR USJ,OBR SB,9,GCP 75,OBR USJ SB,C6
75,330648.887087801,397758.485653226,3,102,12,GP38,KL/SELANGOR,Toll Plaza SB,13,GCP 76,Putra Heights Toll Plaza,C6
76,321775.994658487,401496.858295055,3,102,16,DN02,DL1- Dengkil NB,RSA NB,23,GCP 77,RSA Dengkil NB,C6
77,321649.754111286,401555.136688042,3,102,15,DN01,DL1- Dengkil NB,RSA NB,23,GCP 78,RSA Dengkil NB,C6
78,321699.809017533,401638.099444837,3,102,16,GP37,KL/SELANGOR,RSA NB,23,GCP 79,RSA Dengkil NB,C6
79,321648.40489969,401940.370762397,3,102,16,DS02,DL1- Dengkil SB,RSA SB,23,GCP 80,RSA Dengkil SB,C6
80,321528.495089595,401988.591787343,3,102,16,DS01,DL1- Dengkil SB,RSA SB,23,GCP 81,RSA Dengkil SB,C6
81,321378.461324789,402113.957244772,3,102,15,DS03,DL1- Dengkil SB,RSA SB,24,GCP 82,RSA Dengkil SB,C6
82,320998.377022321,402144.365583122,3,102,10,PLUS TBM23,KL/SELANGOR,RSA SB,24,GCP 83,RSA Dengkil SB,C6
83,313590.753961373,407002.882677016,3,102,7,GP36,KL/SELANGOR,Toll Plaza SB,0,GCP 84,KLIA Toll Plaza,C6
84,314429.153498185,411677.701013253,3,102,34,GP35,KL/SELANGOR,NB,37,GCP 85, ,C6
85,316202.782688078,418797.888968489,3,102,40,GP34,MELAKA/N.SEMBILAN,NB,44,GCP 86, ,C6
86,334734.189662364,412908.06581942,3,102,42,GP33,KL/SELANGOR,Layby SB,308,GCP 87,Layby Serdang SB,C5
87,324620.32758557,418235.620656634,3,102,28,GP32,KL/SELANGOR,Toll Plaza,297,GCP 88,Bangi Toll Plaza,C5
88,321721.027197687,418170.238221373,3,102,44,TBM10,KL/SELANGOR,Toll Plaza,294,GCP 89,Southville City Toll Plaza,C5
